URL,タイトル,PV90d,sessions,理由
https://m.firekids.jp/web/,300本限定。ピアジェより150周年記念42mm・36mmモデル『ピアジェ ポロ デイト』が登場 – FIREKIDS MAGAZINE,2,1,イベント告知/期間限定/予約系
https://m.firekids.jp/00/686/,【インスタグラム・ライブ掲載14】2022.7.31　粒揃いのモデルが並ぶオメガからは、あのファーストムーンウォッチが登場！キャタピラーブレス付きの希少モデルは必見 – FIREKIDS MAGAZINE,2,2,イベント告知/期間限定/予約系
https://m.firekids.jp/sub9/,300本限定。ピアジェより150周年記念42mm・36mmモデル『ピアジェ ポロ デイト』が登場 – FIREKIDS MAGAZINE,2,2,イベント告知/期間限定/予約系
https://m.firekids.jp/5525-caseback/,「ブレゲ ブティック銀座」がリニューアルオープン。『マリーン』より日本限定2モデルが各25本登場 – FIREKIDS MAGAZINE,2,2,イベント告知/期間限定/予約系
https://m.firekids.jp/sub1-2/,300本限定。ピアジェより150周年記念42mm・36mmモデル『ピアジェ ポロ デイト』が登場 – FIREKIDS MAGAZINE,2,2,イベント告知/期間限定/予約系
https://m.firekids.jp/00/544/,【インスタグラム・ライブ掲載18】2022.8.10　野村店長のオススメ3選 – FIREKIDS MAGAZINE,2,2,イベント告知/期間限定/予約系
https://m.firekids.jp/_24a0109/,「ブレゲ ブティック銀座」がリニューアルオープン。『マリーン』より日本限定2モデルが各25本登場 – FIREKIDS MAGAZINE,3,3,イベント告知/期間限定/予約系
https://m.firekids.jp/sub1-5/,世界で50本のみ。ブライトリングよりアイスグレーの日本限定モデルが登場 – FIREKIDS MAGAZINE,3,3,イベント告知/期間限定/予約系
https://m.firekids.jp/_24a0277/,「ブレゲ ブティック銀座」がリニューアルオープン。『マリーン』より日本限定2モデルが各25本登場 – FIREKIDS MAGAZINE,3,3,イベント告知/期間限定/予約系
https://m.firekids.jp/5515_5525/,「ブレゲ ブティック銀座」がリニューアルオープン。『マリーン』より日本限定2モデルが各25本登場 – FIREKIDS MAGAZINE,4,2,イベント告知/期間限定/予約系
https://m.firekids.jp/sub2-2/,世界で50本のみ。ブライトリングよりアイスグレーの日本限定モデルが登場 – FIREKIDS MAGAZINE,4,3,イベント告知/期間限定/予約系
https://m.firekids.jp/5525_a/,「ブレゲ ブティック銀座」がリニューアルオープン。『マリーン』より日本限定2モデルが各25本登場 – FIREKIDS MAGAZINE,4,3,イベント告知/期間限定/予約系
https://m.firekids.jp/main-6/,世界で50本のみ。ブライトリングよりアイスグレーの日本限定モデルが登場 – FIREKIDS MAGAZINE,4,3,イベント告知/期間限定/予約系
https://m.firekids.jp/5515-caseback/,「ブレゲ ブティック銀座」がリニューアルオープン。『マリーン』より日本限定2モデルが各25本登場 – FIREKIDS MAGAZINE,4,3,イベント告知/期間限定/予約系
https://m.firekids.jp/_24a0028/,「ブレゲ ブティック銀座」がリニューアルオープン。『マリーン』より日本限定2モデルが各25本登場 – FIREKIDS MAGAZINE,4,3,イベント告知/期間限定/予約系
https://m.firekids.jp/sub7/,300本限定。ピアジェより150周年記念42mm・36mmモデル『ピアジェ ポロ デイト』が登場 – FIREKIDS MAGAZINE,4,3,イベント告知/期間限定/予約系
https://m.firekids.jp/main-4/,300本限定。ピアジェより150周年記念42mm・36mmモデル『ピアジェ ポロ デイト』が登場 – FIREKIDS MAGAZINE,4,3,イベント告知/期間限定/予約系
https://m.firekids.jp/5515_a/,「ブレゲ ブティック銀座」がリニューアルオープン。『マリーン』より日本限定2モデルが各25本登場 – FIREKIDS MAGAZINE,4,4,イベント告知/期間限定/予約系
https://m.firekids.jp/00/725/,【インスタグラム・ライブ掲載13】2022.7.27　アンティークウォッチの悪いところを語るセッション。欠点も愛おしくなるのが、アンティーク好き！ – FIREKIDS MAGAZINE,6,5,イベント告知/期間限定/予約系
https://m.firekids.jp/00/4888/,「ブレゲ ブティック銀座」がリニューアルオープン。『マリーン』より日本限定2モデルが各25本登場 – FIREKIDS MAGAZINE,8,5,イベント告知/期間限定/予約系
https://m.firekids.jp/00/785/,【インスタグラム・ライブ掲載8　2022.7.3　もっとも資産価値の高いブランド、ロレックスを50本以上在庫する、ファイアーキッズならではのオススメ3本！ – FIREKIDS MAGAZINE,8,7,イベント告知/期間限定/予約系
https://m.firekids.jp/00/810/,【インスタグラム・ライブ掲載6】2022.6.29　40年代のユニバーサルジュネーブ『ユニコンパックス』は、機械が大きく、インダイヤルのバランスが抜群だ！ – FIREKIDS MAGAZINE,10,7,イベント告知/期間限定/予約系
https://m.firekids.jp/00/883/,【インスタグラム・ライブ再掲載2】2022.6.8 無駄な機能がついている格好良さ。男が一度は憧れるパイロット気分になれる、ブライトリング『ナビタイマー』 – FIREKIDS MAGAZINE,19,11,イベント告知/期間限定/予約系
https://m.firekids.jp/00/927/,【インスタグラム・ライブ再掲載1】2022.5.31　ロレックス『デイトジャスト』は、誰がつけても、どんな服装でつけても格好いいという、一番使いやすいモデルです。 – FIREKIDS MAGAZINE,21,14,イベント告知/期間限定/予約系
https://m.firekids.jp/00/4189/,伊勢丹新宿店 本館「オメガブティック」と「A.ランゲ&ゾーネ ブティック」がリニューアルオープン – FIREKIDS MAGAZINE,22,10,イベント告知/期間限定/予約系
https://m.firekids.jp/00/849/,【インスタグラム・ライブ掲載4】2022.6.22　西ドイツ限定の『スピードマスター』は、一見ポルシェデザインのような、らしくないデザインのレアモデル – FIREKIDS MAGAZINE,22,13,イベント告知/期間限定/予約系
https://m.firekids.jp/00/5507/,世界で50本のみ。ブライトリングよりアイスグレーの日本限定モデルが登場 – FIREKIDS MAGAZINE,22,13,イベント告知/期間限定/予約系
https://m.firekids.jp/00/817/,【インスタグラム・ライブ掲載5】2022.6.26 腕時計を選ぶ時は、ショップで腕に乗せると合う合わないがよくわかる 出演＝野村一成（店長） – FIREKIDS MAGAZINE,22,14,イベント告知/期間限定/予約系
https://m.firekids.jp/00/557/,【インスタグラム・ライブ掲載17】2022.8.17　スーツを着た時にキマるアンティークウォッチの初級、中級、上級編は、総じて上品なデザインが特徴だ – FIREKIDS MAGAZINE,25,21,イベント告知/期間限定/予約系
https://m.firekids.jp/00/793/,【インスタグラム・ライブ掲載7】2022.7.3　ファイアーキッズでもっとも古い1920年代製！リューズのない腕時計、ハーウッド – FIREKIDS MAGAZINE,32,22,イベント告知/期間限定/予約系
https://m.firekids.jp/00/647/,【インスタグラム・ライブ掲載16】2022.8.07　スタッフが「自分へのご褒美に」よ選んだ時計3本は、1950年代以前のアラビアインデックスだった – FIREKIDS MAGAZINE,34,20,イベント告知/期間限定/予約系
https://m.firekids.jp/00/4384/,300本限定。ピアジェより150周年記念42mm・36mmモデル『ピアジェ ポロ デイト』が登場 – FIREKIDS MAGAZINE,35,21,イベント告知/期間限定/予約系
